4828,68,68,68.0
26949,68,68,68.0
53712,70,70,70.0
60616,55,0,18.333333333333332
76955,63,63,63.0
80031,65,0,16.25
83583,65,65,65.0
85681,63,0,31.5
95543,75,75,75.0
98298,65,65,65.0
105744,73,73,73.0
107391,63,53,58.0
108625,68,0,40.333333333333336
115549,55,0,27.5
115754,63,63,63.0
115778,80,80,80.0
115790,65,65,65.0
116960,68,0,32.75
116968,55,0,18.333333333333332
117547,58,45,51.5
122085,20,20,20.0
122486,0,0,0.0
124018,70,70,70.0
124942,40,40,40.0
126189,63,63,63.0
126751,68,68,68.0
126788,68,0,22.6
131257,55,0,27.5
132844,65,65,65.0
134329,73,73,73.0
134349,0,0,0.0
135644,70,70,70.0
137672,55,53,54.0
138922,63,63,63.0
141519,0,0,0.0
141663,60,60,60.0
143273,38,38,38.0
143351,55,55,55.0
144824,70,70,70.0
144877,55,0,22.0
145092,48,48,48.0
152037,43,43,43.0
152848,60,60,60.0
153142,60,58,58.666666666666664
153146,63,63,63.0
153944,68,68,68.0
154297,73,73,73.0
154959,65,65,65.0
155969,73,0,36.5
156167,55,55,55.0
157139,50,50,50.0
157784,60,60,60.0
157813,45,0,22.5
159069,58,0,29.0
159109,40,40,40.0
159952,68,68,68.0
162646,55,0,13.75
162814,65,65,65.0
163392,45,0,10.625
164662,45,0,15.0
165124,33,33,33.0
167321,0,0,0.0
168001,63,63,63.0
168443,53,53,53.0
168578,70,70,70.0
169155,60,0,30.0
169508,63,58,60.5
169804,63,63,63.0
169812,68,0,34.0
170272,78,78,78.0
171783,58,58,58.0
173386,70,70,70.0
174500,65,65,65.0
175136,0,0,0.0
178793,60,60,60.0
181312,68,55,61.5
182729,43,43,43.0
183408,40,35,37.5
186300,65,0,39.333333333333336
186305,0,0,0.0
188104,55,55,55.0
189393,65,0,10.833333333333334
189998,53,53,53.0
190273,73,73,73.0
190629,0,0,0.0
191160,55,55,55.0
191549,63,63,63.0
191769,0,0,0.0
192199,68,68,68.0
192254,73,0,24.333333333333332
193614,0,0,0.0
193842,60,55,57.5
196274,45,25,35.0
196349,70,70,70.0
196868,58,58,58.0
197906,35,35,35.0
199240,73,73,73.0
199636,68,68,68.0
463808,0,0,0.0
